word,synset,lemma,definition,examples,synonyms,antonyms,similarity_run.v.01_sprint.v.01,similarity_ship.n.01_boat.n.01
immoderate,immoderate.a.01,immoderate,beyond reasonable limits,"['immoderate laughter', 'immoderate spending']",{'immoderate'},{'moderate'},0.8571428571428571,0.9090909090909091
immoderately,immoderately.r.01,immoderately,without moderation; in an immoderate manner,['he eats immoderately'],"{'unreasonably', 'immoderately'}","{'moderately', 'reasonably'}",0.8571428571428571,0.9090909090909091
immodest,immodest.a.01,immodest,"having or showing an exaggerated opinion of your importance, ability, etc",['brash immodest boasting'],{'immodest'},{'modest'},0.8571428571428571,0.9090909090909091
immoral,immoral.a.01,immoral,deliberately violating accepted principles of right and wrong,[],"{'immoral', 'base'}",{'moral'},0.8571428571428571,0.9090909090909091
immorality,immorality.n.01,immorality,the quality of not being in accord with standards of right or good conduct,['the immorality of basing the defense of the West on the threat of mutual assured destruction'],"{'iniquity', 'wickedness', 'immorality', 'evil'}",{'morality'},0.8571428571428571,0.9090909090909091
immorally,immorally.r.01,immorally,without regard for morality,['he acted immorally when his own interests were at stake'],"{'immorally', 'amorally'}",{'morally'},0.8571428571428571,0.9090909090909091
immovable,real_property.n.01,real_property,property consisting of houses and land,[],"{'real_estate', 'stabile', 'immovable', 'immoveable', 'unmovable', 'realty', 'real_property'}",set(),0.8571428571428571,0.9090909090909091
impair,impair.v.01,impair,make worse or less effective,['His vision was impaired'],"{'impair', 'vitiate', 'mar', 'deflower', 'spoil'}",set(),0.8571428571428571,0.9090909090909091
impaired,impair.v.01,impair,make worse or less effective,['His vision was impaired'],"{'impair', 'vitiate', 'afflicted', 'impaired', 'mar', 'deflower', 'spoil'}",{'unimpaired'},0.8571428571428571,0.9090909090909091
impasse,deadlock.n.01,deadlock,a situation in which no progress can be made or no advancement is possible,['reached an impasse on the negotiations'],"{'dead-end_street', 'blind_alley', 'standstill', 'dead_end', 'cul_de_sac', 'stalemate', 'deadlock', 'impasse'}",set(),0.8571428571428571,0.9090909090909091
impatience,restlessness.n.02,restlessness,a lack of patience; irritation with anything that causes delay,[],"{'restlessness', 'impatience'}",{'patience'},0.8571428571428571,0.9090909090909091
impatient,impatient.a.01,impatient,restless or short-tempered under delay or opposition,"['impatient with the slower students', 'impatient of criticism']","{'impatient', 'raring'}",{'patient'},0.8571428571428571,0.9090909090909091
impatiently,impatiently.r.01,impatiently,with impatience; in an impatient manner,['he answered her impatiently'],{'impatiently'},{'patiently'},0.8571428571428571,0.9090909090909091
impeach,impeach.v.01,impeach,challenge the honesty or veracity of,['the lawyers tried to impeach the credibility of the witnesses'],"{'criminate', 'incriminate', 'accuse', 'impeach'}",set(),0.8571428571428571,0.9090909090909091
impedance,electric_resistance.n.01,electric_resistance,a material's opposition to the flow of electric current; measured in ohms,[],"{'ohmic_resistance', 'resistivity', 'electric_resistance', 'impedance', 'resistance', 'electrical_resistance'}",set(),0.8571428571428571,0.9090909090909091
impede,impede.v.01,impede,be a hindrance or obstacle to,['She is impeding the progress of our project'],"{'impede', 'obstruct', 'obturate', 'jam', 'hinder', 'occlude', 'close_up', 'block'}",{'free'},0.8571428571428571,0.9090909090909091
impediment,hindrance.n.01,hindrance,something immaterial that interferes with or delays action or progress,[],"{'impedimenta', 'obstruction', 'hinderance', 'hindrance', 'obstructer', 'check', 'handicap', 'impediment', 'obstructor', 'balk', 'baulk', 'deterrent'}",set(),0.8571428571428571,0.9090909090909091
impending,impend.v.01,impend,be imminent or about to happen,['Changes are impending'],"{'close_at_hand', 'impend', 'at_hand', 'impending', 'imminent', 'impendent'}",set(),0.8571428571428571,0.9090909090909091
impenitent,impenitent.a.01,impenitent,not penitent or remorseful,[],"{'unrepentant', 'unremorseful', 'impenitent'}","{'penitent', 'repentant'}",0.8571428571428571,0.9090909090909091
imperfect,progressive.n.01,progressive,a tense of verbs used in describing action that is on-going,[],"{'continuous_tense', 'imperfect_tense', 'fallible', 'weak', 'progressive_tense', 'imperfect', 'progressive', 'frail'}",{'perfect'},0.8571428571428571,0.9090909090909091
imperfection,imperfection.n.01,imperfection,the state or an instance of being imperfect,[],"{'imperfectness', 'imperfection'}",{'perfection'},0.8571428571428571,0.9090909090909091
imperfections,imperfection.n.01,imperfection,the state or an instance of being imperfect,[],"{'imperfectness', 'imperfection'}",{'perfection'},0.8571428571428571,0.9090909090909091
imperfectly,imperfectly.r.01,imperfectly,in an imperfect or faulty way; ; - Jane Austen,"['The lobe was imperfectly developed', 'Miss Bennet would not play at all amiss if she practiced more']","{'amiss', 'imperfectly'}",{'perfectly'},0.8571428571428571,0.9090909090909091
imperialist,imperialist.n.01,imperialist,a believer in imperialism,[],"{'imperialist', 'imperialistic'}",set(),0.8571428571428571,0.9090909090909091
imperil,endanger.v.01,endanger,pose a threat to; present a danger to,['The pollution is endangering the crops'],"{'jeopardise', 'peril', 'jeopardize', 'endanger', 'imperil', 'menace', 'threaten'}",set(),0.8571428571428571,0.9090909090909091
imperious,disdainful.s.02,disdainful,having or showing arrogant superiority to and disdain of those one views as unworthy; ; ; ; ; ; ; - W.L.Shirer,"['some economists are disdainful of their colleagues in other social disciplines', 'haughty aristocrats', 'his lordly manners were offensive', 'walked with a prideful swagger', 'very sniffy about breaches of etiquette', 'his mother eyed my clothes with a supercilious air', 'a more swaggering mood than usual']","{'lordly', 'imperious', 'disdainful', 'prideful', 'sniffy', 'swaggering', 'overbearing', 'haughty', 'supercilious'}",set(),0.8571428571428571,0.9090909090909091
imperiously,imperiously.r.01,imperiously,in an imperious manner,['imperiously he cut her short'],{'imperiously'},set(),0.8571428571428571,0.9090909090909091
impermissible,impermissible.a.01,impermissible,not permitted,['impermissible behavior'],{'impermissible'},{'permissible'},0.8571428571428571,0.9090909090909091
impersonal,impersonal.a.01,impersonal,not relating to or responsive to individual persons,"['an impersonal corporation', 'an impersonal remark']","{'impersonal', 'neutral'}",{'personal'},0.8571428571428571,0.9090909090909091
impertinent,impertinent.s.01,impertinent,characterized by a lightly pert and exuberant quality,['a certain irreverent gaiety and ease of manner'],"{'impertinent', 'wise', 'extraneous', 'pert', 'smart', 'saucy', 'sassy', 'irreverent', 'fresh', 'impudent', 'overbold', 'orthogonal', 'immaterial'}",set(),0.8571428571428571,0.9090909090909091
impetuous,hotheaded.s.02,hotheaded,characterized by undue haste and lack of thought or deliberation; ; ; ; ; (`brainish' is archaic),"['a hotheaded decision', 'liable to such impulsive acts as hugging strangers', 'an impetuous display of spending and gambling', 'madcap escapades']","{'impulsive', 'impetuous', 'tearaway', 'madcap', 'hotheaded', 'brainish'}",set(),0.8571428571428571,0.9090909090909091
impetuously,impetuously.r.01,impetuously,in an impulsive or impetuous way; without taking cautions,['he often acts impulsively and later regrets it'],"{'impetuously', 'impulsively'}",set(),0.8571428571428571,0.9090909090909091
impiety,impiety.n.01,impiety,unrighteousness by virtue of lacking respect for a god,[],"{'impiety', 'impiousness'}",{'piety'},0.8571428571428571,0.9090909090909091
impinge,impinge.v.01,impinge,impinge or infringe upon,"['This impinges on my rights as an individual', 'This matter entrenches on other domains']","{'impinge', 'encroach', 'entrench', 'infringe', 'trench'}",set(),0.8571428571428571,0.9090909090909091
impious,impious.a.01,impious,lacking piety or reverence for a god,[],"{'undutiful', 'impious'}",{'pious'},0.8571428571428571,0.9090909090909091
implacable,implacable.a.01,implacable,incapable of being placated,['an implacable enemy'],{'implacable'},{'placable'},0.8571428571428571,0.9090909090909091
implausible,implausible.a.01,implausible,having a quality that provokes disbelief,['gave the teacher an implausible excuse'],"{'implausible', 'farfetched'}",{'plausible'},0.8571428571428571,0.9090909090909091
implausibly,incredibly.r.01,incredibly,not easy to believe,['behind you the coastal hills plunge to the incredibly blue sea backed by the Turkish mountains'],"{'improbably', 'incredibly', 'implausibly', 'unbelievably'}","{'believably', 'credibly'}",0.8571428571428571,0.9090909090909091
implicate,implicate.v.01,implicate,bring into intimate and incriminating connection,['He is implicated in the scheme to defraud the government'],"{'entail', 'implicate'}",set(),0.8571428571428571,0.9090909090909091
implication,deduction.n.03,deduction,something that is inferred (deduced or entailed or implied),['his resignation had political implications'],"{'deduction', 'import', 'logical_implication', 'conditional_relation', 'significance', 'implication', 'entailment'}",set(),0.8571428571428571,0.9090909090909091
implode,implode.v.01,implode,burst inward,['The bottle imploded'],"{'go_off', 'implode'}",{'explode'},0.8571428571428571,0.9090909090909091
impolite,impolite.a.01,impolite,not polite,[],{'impolite'},{'polite'},0.8571428571428571,0.9090909090909091
impolitely,impolitely.r.01,impolitely,in an impolite manner,['he treated her impolitely'],"{'discourteously', 'impolitely', 'rudely'}","{'courteously', 'politely'}",0.8571428571428571,0.9090909090909091
impolitic,impolitic.a.01,impolitic,not politic,['an impolitic approach to a sensitive issue'],{'impolitic'},{'politic'},0.8571428571428571,0.9090909090909091
importunate,importunate.s.01,importunate,expressing earnest entreaty,['an importunate job applicant'],{'importunate'},set(),0.8571428571428571,0.9090909090909091
importune,importune.v.01,importune,beg persistently and urgently,['I importune you to help them'],"{'importune', 'insist'}",set(),0.8571428571428571,0.9090909090909091
impose,enforce.v.02,enforce,compel to behave in a certain way,['Social relations impose courtesy'],"{'bring_down', 'levy', 'inflict', 'enforce', 'impose', 'visit'}",set(),0.8571428571428571,0.9090909090909091
imposers,,,,,set(),set(),0.8571428571428571,0.9090909090909091
imposing,enforce.v.02,enforce,compel to behave in a certain way,['Social relations impose courtesy'],"{'bring_down', 'levy', 'inflict', 'stately', 'distinguished', 'baronial', 'magisterial', 'imposing', 'grand', 'enforce', 'noble', 'impose', 'visit'}",set(),0.8571428571428571,0.9090909090909091
imposition,imposition.n.01,imposition,the act of imposing something (as a tax or an embargo),[],"{'imposition', 'infliction'}",set(),0.8571428571428571,0.9090909090909091
impossible,impossible.n.01,impossible,something that cannot be done,['his assignment verged on the impossible'],"{'out_of_the_question', 'insufferable', 'unimaginable', 'inconceivable', 'unacceptable', 'unsufferable', 'impossible'}",{'possible'},0.8571428571428571,0.9090909090909091
impossibleimpossibly,,,,,set(),set(),0.8571428571428571,0.9090909090909091
impossibly,impossibly.r.01,impossibly,to a degree impossible of achievement,"['long thought to be an impossibly difficult operation', 'impossibly far from sources of supply']",{'impossibly'},{'possibly'},0.8571428571428571,0.9090909090909091
impotent,impotent.a.01,impotent,lacking power or ability; - Freeman J.Dyson,"['Technology without morality is barbarous; morality without technology is impotent', 'felt impotent rage']",{'impotent'},{'potent'},0.8571428571428571,0.9090909090909091
impoverish,impoverish.v.01,impoverish,make poor,[],"{'deprive', 'impoverish'}",{'enrich'},0.8571428571428571,0.9090909090909091
impoverished,impoverish.v.01,impoverish,make poor,[],"{'indigent', 'deprive', 'wiped_out', 'broken', 'needy', 'necessitous', 'poverty-stricken', 'impoverish', 'impoverished', 'destitute'}",{'enrich'},0.8571428571428571,0.9090909090909091
impractical,impractical.a.01,impractical,not practical; not workable or not given to practical matters,"['refloating the ship proved impractical because of the expense', 'he is intelligent but too impractical for commercial work', 'an impractical solution']","{'airy', 'Laputan', 'impractical', 'windy', 'visionary'}",{'practical'},0.8571428571428571,0.9090909090909091
imprecate,curse.v.03,curse,wish harm upon; invoke evil upon,['The bad witch cursed the child'],"{'anathemise', 'beshrew', 'swear', 'anathemize', 'blaspheme', 'damn', 'cuss', 'imprecate', 'curse', 'maledict', 'bedamn'}",{'bless'},0.8571428571428571,0.9090909090909091
imprecise,imprecise.a.01,imprecise,not precise,"['imprecise astronomical observations', 'the terms he used were imprecise and emotional']",{'imprecise'},{'precise'},0.8571428571428571,0.9090909090909091
imprecisely,imprecisely.r.01,imprecisely,in an imprecise manner,['he expressed himself imprecisely'],"{'inexactly', 'imprecisely'}","{'precisely', 'exactly'}",0.8571428571428571,0.9090909090909091
imprecision,impreciseness.n.01,impreciseness,the quality of lacking precision,[],"{'impreciseness', 'imprecision'}","{'preciseness', 'precision'}",0.8571428571428571,0.9090909090909091
imprison,imprison.v.01,imprison,"lock up or confine, in or as in a jail","['The suspects were imprisoned without trial', 'the murderer was incarcerated for the rest of his life']","{'jail', 'put_away', 'jug', 'gaol', 'remand', 'incarcerate', 'lag', 'immure', 'put_behind_bars', 'imprison'}",set(),0.8571428571428571,0.9090909090909091
imprisonment,imprisonment.n.01,imprisonment,putting someone in prison or in jail as lawful punishment,[],"{'imprisonment', 'internment', 'immurement', 'incarceration', 'captivity'}",set(),0.8571428571428571,0.9090909090909091
improbability,improbability.n.01,improbability,the quality of being improbable,"['impossibility should never be confused with improbability', 'the improbability of such rare coincidences']","{'improbableness', 'improbability'}",{'probability'},0.8571428571428571,0.9090909090909091
improbable,improbable.a.01,improbable,not likely to be true or to occur or to have occurred,"['legislation on the question is highly unlikely', 'an improbable event']","{'unbelievable', 'improbable', 'tall', 'unlikely', 'marvellous', 'marvelous', 'unconvincing'}",{'probable'},0.8571428571428571,0.9090909090909091
improbably,incredibly.r.01,incredibly,not easy to believe,['behind you the coastal hills plunge to the incredibly blue sea backed by the Turkish mountains'],"{'improbably', 'incredibly', 'implausibly', 'unbelievably'}","{'believably', 'credibly'}",0.8571428571428571,0.9090909090909091
improper,improper.a.01,improper,not suitable or right or appropriate,"['slightly improper to dine alone with a married man', 'improper medication', 'improper attire for the golf course']","{'improper', 'unconventional', 'unlawful', 'wrong'}",{'proper'},0.8571428571428571,0.9090909090909091
improperly,improperly.r.01,improperly,in an improper way,['he checked whether the wound had healed improperly'],{'improperly'},{'properly'},0.8571428571428571,0.9090909090909091
impropriety,impropriety.n.01,impropriety,an improper demeanor,[],"{'familiarity', 'improperness', 'indecency', 'impropriety', 'liberty', 'indecorum'}","{'properness', 'propriety'}",0.8571428571428571,0.9090909090909091
imprudence,imprudence.n.01,imprudence,a lack of caution in practical affairs,[],{'imprudence'},{'prudence'},0.8571428571428571,0.9090909090909091
imprudent,imprudent.a.01,imprudent,not prudent or wise; ; - A.M.Schlesinger,"['very imprudent of her mother to encourage her in such silly romantic ideas', 'would be imprudent for a noneconomist to talk about the details of economic policy']",{'imprudent'},{'prudent'},0.8571428571428571,0.9090909090909091
impudence,impudence.n.01,impudence,an impudent statement,[],"{'crust', 'impudence', 'cheek', 'insolence', 'freshness', 'impertinence', 'cheekiness', 'gall'}",set(),0.8571428571428571,0.9090909090909091
impudent,impudent.s.01,impudent,marked by casual disrespect,"['a flip answer to serious question', 'the student was kept in for impudent behavior']","{'impertinent', 'wise', 'snotty-nosed', 'smart', 'saucy', 'sassy', 'fresh', 'impudent', 'overbold', 'insolent', 'flip'}",set(),0.8571428571428571,0.9090909090909091
impudently,impertinently.r.01,impertinently,in an impudent or impertinent manner,"['a lean, swarthy fellow was peering through the window, grinning impudently']","{'pertly', 'saucily', 'impertinently', 'freshly', 'impudently'}",set(),0.8571428571428571,0.9090909090909091
impugn,impugn.v.01,impugn,attack as false or wrong,[],{'impugn'},set(),0.8571428571428571,0.9090909090909091
impulsive,impulsive.s.01,impulsive,proceeding from natural feeling or impulse without external stimulus,['an impulsive gesture of affection'],"{'capricious', 'driving', 'impulsive', 'impetuous', 'tearaway', 'madcap', 'hotheaded', 'brainish', 'whimsical', 'unprompted'}",set(),0.8571428571428571,0.9090909090909091
impulsively,impetuously.r.01,impetuously,in an impulsive or impetuous way; without taking cautions,['he often acts impulsively and later regrets it'],"{'impetuously', 'impulsively'}",set(),0.8571428571428571,0.9090909090909091
impunity,impunity.n.01,impunity,exemption from punishment or loss,[],{'impunity'},set(),0.8571428571428571,0.9090909090909091
impure,impure.a.01,impure,combined with extraneous elements,[],"{'impure', 'unclean'}","{'pure', 'clean'}",0.8571428571428571,0.9090909090909091
impurity,impurity.n.01,impurity,worthless or dangerous material that should be removed,['there were impurities in the water'],"{'impureness', 'dross', 'impurity'}",{'purity'},0.8571428571428571,0.9090909090909091
in,inch.n.01,inch,a unit of length equal to one twelfth of a foot,[],"{'In', 'atomic_number_49', 'in', 'Indiana', 'inward', 'Hoosier_State', 'inwards', 'IN', 'inch', 'indium'}",set(),0.8571428571428571,0.9090909090909091
inability,inability.n.01,inability,lack of ability (especially mental ability) to do something,[],"{'inability', 'unfitness'}",{'ability'},0.8571428571428571,0.9090909090909091
inaccuracies,inaccuracy.n.01,inaccuracy,the quality of being inaccurate and having errors,[],{'inaccuracy'},{'accuracy'},0.8571428571428571,0.9090909090909091
inaccuracy,inaccuracy.n.01,inaccuracy,the quality of being inaccurate and having errors,[],{'inaccuracy'},{'accuracy'},0.8571428571428571,0.9090909090909091
inaccurate,inaccurate.a.01,inaccurate,not exact,"['an inaccurate translation', 'the thermometer is inaccurate']",{'inaccurate'},{'accurate'},0.8571428571428571,0.9090909090909091
inaccurately,inaccurately.r.01,inaccurately,in an inaccurate manner,['this student works rather inaccurately and sloppily'],{'inaccurately'},{'accurately'},0.8571428571428571,0.9090909090909091
inaction,inaction.n.01,inaction,the state of being inactive,[],"{'inactivity', 'inaction', 'inactiveness'}","{'activity', 'action', 'activeness'}",0.8571428571428571,0.9090909090909091
inactive,inactive.s.01,inactive,(chemistry) not participating in a chemical reaction; chemically inert,['desired amounts of inactive chlorine'],"{'passive', 'dormant', 'static', 'inactive', 'nonoperational', 'motionless', 'still'}","{'active', 'operational'}",0.8571428571428571,0.9090909090909091
inadequacy,insufficiency.n.03,insufficiency,lack of an adequate quantity or number,['the inadequacy of unemployment benefits'],"{'deficiency', 'inadequateness', 'inadequacy', 'insufficiency'}","{'sufficiency', 'adequacy'}",0.8571428571428571,0.9090909090909091
inadequate,inadequate.a.01,inadequate,lacking the requisite qualities or resources to meet a task,"['inadequate training', 'the staff was inadequate', 'she was unequal to the task']","{'inadequate', 'short', 'unequal', 'poor'}",{'adequate'},0.8571428571428571,0.9090909090909091
inadequately,inadequately.r.01,inadequately,in an inadequate manner or to an inadequate degree,['the temporary camps were inadequately equipped'],{'inadequately'},{'adequately'},0.8571428571428571,0.9090909090909091
inadvisable,inadvisable.a.01,inadvisable,not prudent or wise; not recommended,['running on the ice is inadvisable'],"{'unadvisable', 'inadvisable'}",{'advisable'},0.8571428571428571,0.9090909090909091
inane,asinine.s.01,asinine,devoid of intelligence,[],"{'vacuous', 'inane', 'fatuous', 'asinine', 'mindless'}",set(),0.8571428571428571,0.9090909090909091
inanely,fatuously.r.01,fatuously,vacuously or complacently and unconsciously foolish,[],"{'fatuously', 'inanely'}",set(),0.8571428571428571,0.9090909090909091
inappropriate,inappropriate.a.01,inappropriate,not suitable for a particular occasion etc,"['noise seems inappropriate at a time of sadness', 'inappropriate shoes for a walk on the beach', 'put inappropriate pressure on them']","{'incompatible', 'unfitting', 'inappropriate', 'out_or_keeping'}",{'appropriate'},0.8571428571428571,0.9090909090909091
inappropriately,inappropriately.r.01,inappropriately,in an inappropriate manner,['he was inappropriately dressed'],"{'unsuitably', 'inappropriately'}","{'suitably', 'appropriately'}",0.8571428571428571,0.9090909090909091
inapt,awkward.s.04,awkward,not elegant or graceful in expression,"['an awkward prose style', 'a clumsy apology', 'his cumbersome writing style', 'if the rumor is true, can anything be more inept than to repeat it now?']","{'inapt', 'awkward', 'clumsy', 'ill-chosen', 'inept', 'cumbersome'}",set(),0.8571428571428571,0.9090909090909091
inarticulate,inarticulate.a.01,inarticulate,without or deprived of the use of speech or words,"['inarticulate beasts', 'remained stupidly inarticulate and saying something noncommittal', 'inarticulate with rage', 'an inarticulate cry']","{'inarticulate', 'unarticulate'}",{'articulate'},0.8571428571428571,0.9090909090909091
inattentive,inattentive.a.01,inattentive,showing a lack of attention or care,"['inattentive students', 'an inattentive babysitter']","{'neglectful', 'inattentive'}",{'attentive'},0.8571428571428571,0.9090909090909091
inaudible,inaudible.a.01,inaudible,impossible to hear; imperceptible by the ear,['an inaudible conversation'],"{'unhearable', 'inaudible'}",{'audible'},0.8571428571428571,0.9090909090909091
incapable,incapable.a.01,incapable,(followed by `of') lacking capacity or ability,"['incapable of carrying a tune', 'he is incapable of understanding the matter', 'incapable of doing the work']","{'incompetent', 'incapable', 'unequal_to'}",{'capable'},0.8571428571428571,0.9090909090909091
incapably,,,,,set(),set(),0.8571428571428571,0.9090909090909091
incautious,incautious.a.01,incautious,lacking in caution,"['an incautious remark', 'incautious talk']",{'incautious'},{'cautious'},0.8571428571428571,0.9090909090909091
incendiary,arsonist.n.01,arsonist,a criminal who illegally sets fire to property,[],"{'arsonist', 'inflammatory', 'rabble-rousing', 'incitive', 'instigative', 'incendiary', 'firebug', 'firebomb', 'seditious', 'incendiary_bomb'}",set(),0.8571428571428571,0.9090909090909091
incense,incense.n.01,incense,a substance that produces a fragrant odor when burned,[],"{'thurify', 'cense', 'incense', 'infuriate', 'exasperate'}",set(),0.8571428571428571,0.9090909090909091
incessant,ceaseless.s.01,ceaseless,uninterrupted in time and indefinitely long continuing,"['the ceaseless thunder of surf', 'in constant pain', 'night and day we live with the incessant noise of the city', 'the never-ending search for happiness', 'the perpetual struggle to maintain standards in a democracy', ""man's unceasing warfare with drought and isolation"", 'unremitting demands of hunger']","{'unremitting', 'unceasing', 'ceaseless', 'incessant', 'perpetual', 'never-ending', 'constant'}",set(),0.8571428571428571,0.9090909090909091
incessantly,endlessly.r.02,endlessly,with unflagging resolve,['dance inspires him ceaselessly to strive higher and higher toward the shining pinnacle of perfection that is the goal of every artiste'],"{'incessantly', 'perpetually', 'endlessly', 'ceaselessly', 'continuously', 'constantly', 'unceasingly', 'always', 'forever', 'unendingly'}",set(),0.8571428571428571,0.9090909090909091
incite,motivate.v.01,motivate,give an incentive for action,['This moved me to sacrifice my career'],"{'motivate', 'prod', 'instigate', 'set_off', 'incite', 'prompt', 'propel', 'actuate', 'stir_up', 'move', 'egg_on'}",set(),0.8571428571428571,0.9090909090909091
incitement,incitation.n.02,incitation,an act of urging on or spurring on or rousing to action or instigating,['the incitement of mutiny'],"{'provocation', 'exhortation', 'incitation', 'incitement'}",set(),0.8571428571428571,0.9090909090909091
incivility,incivility.n.01,incivility,deliberate discourtesy,[],{'incivility'},{'civility'},0.8571428571428571,0.9090909090909091
inclement,inclement.a.01,inclement,(of weather or climate) severe,[],{'inclement'},{'clement'},0.8571428571428571,0.9090909090909091
incoherence,incoherence.n.01,incoherence,lack of cohesion or clarity or organization,[],"{'incoherency', 'incoherence', 'unintelligibility'}",{'coherence'},0.8571428571428571,0.9090909090909091
incoherent,incoherent.a.01,incoherent,without logical or meaningful connection,['a turgid incoherent presentation'],"{'incoherent', 'tongue-tied'}",{'coherent'},0.8571428571428571,0.9090909090909091
incoherently,incoherently.r.01,incoherently,in an incoherent manner,['he talked incoherently when he drank too much'],{'incoherently'},{'coherently'},0.8571428571428571,0.9090909090909091
incommensurate,incommensurate.a.01,incommensurate,not corresponding in size or degree or extent,['a reward incommensurate with his effort'],{'incommensurate'},{'commensurate'},0.8571428571428571,0.9090909090909091
incomparable,incomparable.a.01,incomparable,such that comparison is impossible; unsuitable for comparison or lacking features that can be compared,"['an incomparable week of rest and pleasure', 'the computer proceeds with its incomparable logic and efficiency', 'this report is incomparable with the earlier ones because of different breakdowns of the data']","{'incomparable', 'uncomparable'}",{'comparable'},0.8571428571428571,0.9090909090909091
incomparably,incomparably.r.01,incomparably,in an incomparable manner or to an incomparable degree,['she is incomparably gifted'],"{'uncomparably', 'incomparably'}",{'comparably'},0.8571428571428571,0.9090909090909091
incompatibility,incompatibility.n.01,incompatibility,the relation between propositions that cannot both be true at the same time,[],"{'repugnance', 'incompatibility', 'mutual_exclusiveness', 'inconsistency'}",{'compatibility'},0.8571428571428571,0.9090909090909091
incompatible,incompatible.a.01,incompatible,not compatible,"['incompatible personalities', 'incompatible colors']","{'uncongenial', 'inappropriate', 'out_or_keeping', 'contrastive', 'unfitting', 'mismated', 'discrepant', 'ill-sorted', 'incompatible', 'unsuited', 'antagonistic'}","{'congenial', 'synergistic', 'compatible'}",0.8571428571428571,0.9090909090909091
incompetence,incompetence.n.01,incompetence,lack of physical or intellectual ability or qualifications,[],"{'incompetency', 'incompetence'}",{'competence'},0.8571428571428571,0.9090909090909091
incompetent,incompetent.n.01,incompetent,someone who is not competent to take effective action,[],"{'fumbling', 'unequal_to', 'incompetent_person', 'clumsy', 'incapable', 'unqualified', 'unskilled', 'incompetent', 'bungling'}",{'competent'},0.8571428571428571,0.9090909090909091
incompetently,incompetently.r.01,incompetently,in an incompetent manner,['he did the job rather incompetently'],"{'displaying_incompetence', 'incompetently'}",{'competently'},0.8571428571428571,0.9090909090909091
incomplete,incomplete.a.01,incomplete,not complete or total; not completed,"['an incomplete account of his life', 'political consequences of incomplete military success', 'an incomplete forward pass']","{'uncompleted', 'uncomplete', 'incomplete'}",{'complete'},0.8571428571428571,0.9090909090909091
incomprehensible,inexplicable.a.01,inexplicable,incapable of being explained or accounted for,"['inexplicable errors', 'left the house at three in the morning for inexplicable reasons']","{'uncomprehensible', 'inexplicable', 'incomprehensible'}","{'comprehensible', 'explicable'}",0.8571428571428571,0.9090909090909091
incomprehension,incomprehension.n.01,incomprehension,an inability to understand,['his incomprehension of the consequences'],{'incomprehension'},{'comprehension'},0.8571428571428571,0.9090909090909091
inconceivable,impossible.s.02,impossible,totally unlikely,[],"{'inconceivable', 'out_of_the_question', 'unimaginable', 'impossible'}",set(),0.8571428571428571,0.9090909090909091
inconceivably,inconceivably.r.01,inconceivably,to an inconceivable degree,['inconceivably small'],{'inconceivably'},set(),0.8571428571428571,0.9090909090909091
incongruous,incongruous.a.01,incongruous,lacking in harmony or compatibility or appropriateness,"['a plan incongruous with reason', 'incongruous behavior', 'a joke that was incongruous with polite conversation']",{'incongruous'},{'congruous'},0.8571428571428571,0.9090909090909091
incongruously,incongruously.r.01,incongruously,in an incongruous manner,['his shirttails stuck out from his tuxedo pants somewhat incongruously'],{'incongruously'},set(),0.8571428571428571,0.9090909090909091
inconsequential,inconsequent.s.01,inconsequent,lacking worth or importance,"['his work seems trivial and inconsequential', 'the quite inconsequent fellow was managed like a puppet']","{'inconsequential', 'inconsequent'}",set(),0.8571428571428571,0.9090909090909091
inconsequentially,inconsequentially.r.01,inconsequentially,lacking consequence,"[""`You're so beautifully dressed,' she said and added quite inconsequentially, `Can you stay the night?'""]","{'inconsequentially', 'inconsequently'}",{'consequentially'},0.8571428571428571,0.9090909090909091
inconsiderate,inconsiderate.a.01,inconsiderate,lacking regard for the rights or feelings of others,['shockingly inconsiderate behavior'],"{'inconsiderate', 'unconsidered'}",{'considerate'},0.8571428571428571,0.9090909090909091
inconsiderately,inconsiderately.r.01,inconsiderately,without consideration; in an inconsiderate manner,"['inconsiderately, he asked to be invited for dinner']",{'inconsiderately'},{'considerately'},0.8571428571428571,0.9090909090909091
inconsistencies,incompatibility.n.01,incompatibility,the relation between propositions that cannot both be true at the same time,[],"{'repugnance', 'incompatibility', 'mutual_exclusiveness', 'inconsistency'}",{'consistency'},0.8571428571428571,0.9090909090909091
inconsistency,incompatibility.n.01,incompatibility,the relation between propositions that cannot both be true at the same time,[],"{'repugnance', 'incompatibility', 'mutual_exclusiveness', 'inconsistency'}",{'consistency'},0.8571428571428571,0.9090909090909091
inconsistent,inconsistent.a.01,inconsistent,displaying a lack of consistency,"['inconsistent statements cannot both be true at the same time', 'inconsistent with the roadmap']","{'inconsistent', 'discrepant'}",{'consistent'},0.8571428571428571,0.9090909090909091
inconsolable,inconsolable.a.01,inconsolable,sad beyond comforting; incapable of being consoled,['inconsolable when her son died'],"{'inconsolable', 'disconsolate', 'unconsolable'}",{'consolable'},0.8571428571428571,0.9090909090909091
inconsolably,,,,,set(),set(),0.8571428571428571,0.9090909090909091
inconstant,inconstant.a.01,inconstant,likely to change frequently often without apparent or cogent reason; variable; ; ; - Shakespeare,"['inconstant affections', 'an inconstant lover', 'swear not by...the inconstant moon']",{'inconstant'},{'constant'},0.8571428571428571,0.9090909090909091
